Uso,Genero,Dias,Ida/Vuelta,Hora Cu-Cu2,Hora Cu2-Cu,Satisfaccion,Espera Cu-Cu2,Espera Cu2-Cu,Frecuencia parado
Si,Masculino,5,0,10,15,3,30,45,4
Si,Masculino,5,0,7,16,3,30,60,5
Si,Masculino,5,0,7,12,3,30,60,5
Si,Masculino,5,0,7,14,3,30,60,5
Si,Femenino,5,1,11,14,2,15,30,4
Si,Femenino,5,1,13,14,2,15,30,4
Si,Masculino,5,0,7,14,2,30,60,4
Si,Masculino,5,0,8,14,2,30,60,4
Si,Masculino,5,0,9,14,2,30,60,4
Si,Masculino,5,0,11,14,2,30,60,4
Si,S/G,5,0,7,15,1,15,30,4
Si,S/G,5,0,7,14,1,15,30,4
Si,Femenino,5,0,7,11,1,45,60,4
Si,Femenino,5,0,8,14,1,45,60,4
Si,Femenino,5,0,8,11,1,45,60,4
Si,Femenino,5,0,9,14,2,15,45,4
Si,Masculino,5,0,7,14,3,45,30,3
Si,Masculino,5,0,8,14,3,45,30,3
Si,Masculino,5,0,9,14,3,45,30,3
Si,Masculino,5,0,8,12,2,15,30,4
Si,Masculino,5,0,8,13,2,15,30,4
Si,Masculino,5,0,8,14,2,15,30,4
Si,Masculino,5,0,8,15,2,15,30,4
Si,Masculino,5,0,8,17,2,15,30,4
Si,Masculino,5,0,10,12,2,15,30,4
Si,Masculino,5,0,10,13,2,15,30,4
Si,Masculino,5,0,10,14,2,15,30,4
Si,Masculino,5,0,10,15,2,15,30,4
Si,Masculino,5,0,10,17,2,15,30,4
Si,Masculino,5,0,11,12,2,15,30,4
Si,Masculino,5,0,11,13,2,15,30,4
Si,Masculino,5,0,11,14,2,15,30,4
Si,Masculino,5,0,11,15,2,15,30,4
Si,Masculino,5,0,11,17,2,15,30,4
Si,Femenino,5,0,7,18,2,15,60,3
Si,Femenino,5,0,7,12,2,15,45,4
Si,Femenino,5,0,7,17,2,30,30,4
Si,Femenino,5,0,7,18,2,30,30,4
Si,Masculino,5,0,10,18,3,45,45,4
Si,Masculino,5,0,7,15,3,15,45,5
Si,Masculino,5,0,8,14,2,60,60,5
Si,Femenino,5,0,12,13,2,30,60,4
Si,Femenino,5,0,7,15,2,15,30,4
Si,Femenino,5,0,7,16,2,45,60,5
Si,Femenino,5,0,7,14,2,45,60,5
Si,Femenino,5,0,7,15,2,45,60,5
Si,Masculino,4,2,7,18,3,30,45,2
Si,Masculino,4,2,7,19,3,30,45,2
Si,Masculino,5,0,15,18,3,15,45,5
Si,Masculino,5,0,15,19,3,15,45,5
Si,Masculino,5,0,0,18,3,15,45,5
Si,Masculino,5,0,0,19,3,15,45,5
Si,Masculino,5,0,7,15,4,30,45,5
Si,Masculino,5,0,9,15,2,44,60,5
Si,Masculino,4,0,7,13,3,45,45,5
Si,Masculino,4,0,7,16,3,45,45,5
Si,Masculino,4,0,9,13,3,45,45,5
Si,Masculino,4,0,9,16,3,45,45,5
Si,Masculino,5,0,7,12,1,30,45,4
Si,bbb,5,0,7,16,3,60,29,4
Si,Femenino,5,0,7,14,3,30,60,5
Si,Masculino,5,0,7,17,2,30,60,5
Si,Masculino,5,0,10,17,2,30,60,5
Si,Masculino,5,0,7,15,2,30,30,4
Si,Masculino,5,0,7,16,2,30,30,4
Si,Masculino,5,0,7,11,2,30,30,4
Si,Masculino,5,0,7,16,2,60,29,5
Si,Femenino,5,0,7,19,3,45,60,2
Si,Femenino,5,0,7,14,2,45,30,5
Si,Femenino,5,0,7,15,2,45,30,5
Si,Femenino,5,0,9,14,3,30,60,5
Si,Masculino,5,2,11,15,2,30,30,2
Si,Masculino,5,2,10,15,2,30,30,2
Si,Masculino,5,2,7,15,2,30,30,2
Si,Femenino,5,0,7,13,1,15,45,3
